"","iteration","num.plants","plant.size","plant.size.var","aim.sum","aim.count","aim.multiples","haf.sum","haf.count","haf.duplicates","plot.average","plot.max"
"19",19,100,10,5,22.6010226906253,7,0,23.0660518386071,3,0,21.9478454360217,23.3249406749823
"20",20,100,10,5,22.353538515308,9,0,23.2534399704456,4,1,22.0558286314532,23.4020069926875
"21",21,100,10,5,23.345996723975,10,0,24.5247432085309,4,2,21.9942037142147,23.356280651215
"22",22,100,10,5,22.6605278935958,3,0,22.7121057936811,1,0,21.9832981261325,23.3938193884665
"23",23,100,10,5,24.1943240861298,4,1,24.5037166707981,2,0,22.0352639582866,23.4159602270411
"24",24,100,10,5,22.5340337588855,2,0,22.0241598808302,1,0,22.1991817821094,23.4982042437564
"25",25,100,10,5,21.9737792094021,6,0,22.849004458532,2,0,22.079212566152,23.4775131658036
"26",26,100,10,5,22.3962895244244,8,0,23.2402155366634,3,0,21.9535352651709,23.311514441594
"27",27,100,10,5,22.1542966803267,11,0,23.3509037672751,3,0,21.939799174101,23.2891720649233
"28",28,100,10,5,23.4527525662292,6,0,23.3161284658341,2,1,22.0490000073902,23.403333313199
"29",29,100,10,5,22.7987857433564,7,0,23.7376036338061,1,0,21.9925208487542,23.3545390077902
"30",30,100,10,5,22.8013144748598,8,0,23.8698054772887,1,0,22.0482144705882,23.4765846448409
"31",31,100,10,5,22.492425237269,5,0,0,0,0,22.1077870991206,23.4017132701261
"32",32,100,10,5,22.0623081503258,1,0,0,0,0,22.0142350964012,23.4005759346082
"33",33,100,10,5,22.5985379748366,7,1,23.5494704471121,4,0,22.1140320670892,23.4834956290506
"34",34,100,10,5,23.0970051891893,6,0,24.0339247370415,2,1,22.0928128945196,23.4366104171623
"35",35,100,10,5,23.1167107979219,11,1,23.6425130022867,4,0,22.2438350671498,23.570679624775
"36",36,100,10,5,22.4846185095008,7,1,23.4003081562942,1,1,22.1865748840978,23.6073847137127
"37",37,100,10,5,23.0093244673662,15,0,23.5059491504455,4,0,22.1950274144295,23.5991965972222
"38",38,100,10,5,23.6602314365123,9,3,24.9125188619502,3,0,22.2557934310036,23.5970407609311
"39",39,100,10,5,23.0868453376505,4,1,23.372256091738,1,0,22.1175557368413,23.5501068351512
"40",40,100,10,5,23.7296210823093,5,0,24.4336162035075,2,1,22.0618890712128,23.3934319753081
"41",41,100,10,5,22.9337444384923,12,1,23.815070505262,4,1,22.0005504100878,23.3376766465706
"42",42,100,10,5,23.1711459842986,5,1,23.9410215096278,3,0,22.0962144088918,23.4623028176099
"43",43,100,10,5,21.9674429363751,5,0,23.2829777354024,2,0,21.9023681689468,23.3215167852579
"44",44,100,10,5,23.0280990406806,7,0,24.1757341003708,3,0,22.308436930792,23.632874199823
"45",45,100,10,5,22.0310819080643,3,0,0,0,0,22.1131756387158,23.4552238147504
"46",46,100,10,5,22.5480697582967,4,0,23.0926069144129,2,0,22.0651168417813,23.4922356529126
"47",47,100,10,5,22.6288938483173,10,0,23.6721608146208,2,0,21.9859997500087,23.3709846758544
"48",48,100,10,5,22.9075171503832,9,0,23.4608191735362,3,0,22.0523504483773,23.4279048597088
"49",49,100,10,5,23.7192995400918,8,0,23.4227475799331,1,0,22.1663265374963,23.5157067373419
"50",50,100,10,5,23.2210884324161,12,0,23.7046063148237,5,0,22.0446699053733,23.4274679648
"51",51,100,10,5,23.4135050003204,8,0,23.9184822344117,4,1,22.0958786490241,23.4142138233121
"52",52,100,10,5,23.2992808613139,2,0,23.5996395863087,2,0,22.024437398789,23.3695714895654
"53",53,100,10,5,22.8709254570149,5,1,23.4975382228485,3,0,21.989769669718,23.2904948509841
"54",54,100,10,5,22.5056998951594,16,3,22.7284753183509,6,0,21.9662352913102,23.3199320548979
"55",55,100,10,5,24.0002028914621,5,0,24.8486689763675,1,0,22.2126372797234,23.5759956887903
"56",56,100,10,5,22.9822214422527,6,0,23.0530200681389,3,0,22.0173299031406,23.3786919980943
"57",57,100,10,5,23.4675175670196,13,0,23.8339458345908,4,2,22.0309392395305,23.3355764212467
"58",58,100,10,5,23.1400197458578,9,2,23.6082173711072,3,1,22.2582484907995,23.577247425315
"59",59,100,10,5,22.9272493698345,11,0,23.4399257210607,4,0,22.1681353000713,23.5448111807493
"60",60,100,10,5,23.1078930010073,8,1,23.8806126030418,3,0,21.9538638641267,23.3121326974883
"61",61,100,10,5,22.0860720143034,8,0,23.4072669745223,1,0,22.184888544782,23.4911127286167
"62",62,100,10,5,22.7546131555687,8,0,22.6415116878698,2,0,21.9498687054012,23.3071499752816
